AvenueName,심야(00-04),새벽첫차(04-07),출근(07-10),낮(10-17),퇴근(17-20),저녁(20-24)
동막교사거리_경기고속삼거리방면,2,3,0,0,2,2
동막교사거리_동막교삼거리방면,2,3,1,2,2,2
동막교사거리_오리공원방면,0,0,1,1,1,1
동막교사거리_오리역방면,2,3,1,2,2,2
미금역사거리_까치마을사거리방면,0,1,1,1,1,1
미금역사거리_미금역방면,2,3,1,2,2,2
미금역사거리_정자일로방면,0,0,1,1,1,1
미금역사거리_청송마을사거리방면,2,3,1,2,2,2
오리삼거리_농수산물센터방면,0,3,1,1,1,1
오리삼거리_오리교1사거리방면,2,0,1,2,2,2
오리삼거리_오리역방면,1,3,1,1,1,1
